Features,Sensitivity,Specificity,MCC,AUC
001100001100,0.600372586962824,0.7147972719714941,0.31394992091947904,0.6740118518518521
001100001101,0.6064741045673938,0.6966353031180413,0.3027903574883539,0.6789866666666667
001100001110,0.6237563615335194,0.6560454909367109,0.2721505140221994,0.6530666666666669
001100001111,0.6282732952104929,0.6675172933918616,0.2884325338109426,0.655125925925926
001100010000,0.6325163703119114,0.6924340684030978,0.32397893679504586,0.6523674074074073
001100010001,0.6673781330155247,0.7077484724642076,0.3729514377803311,0.6588474074074075
001100010010,0.7432389783009977,0.6593736142807133,0.3627462828820094,0.5946162962962963
001100010011,0.652983955108335,0.6528106782770099,0.29100248366403336,0.6149422222222224
001100010100,0.7067972263168106,0.7695151437313027,0.4762596500521961,0.7334251851851852
001100010101,0.6845294315878212,0.768423093282465,0.45411807865384424,0.7355170370370367
001100010110,0.7354198998694845,0.7073260887150589,0.4253292338080169,0.7031614814814813
001100010111,0.750628282973217,0.7192690240964035,0.4546061109757481,0.7013718518518517
001100011000,0.6354804303909188,0.6739561334953926,0.30469321790203074,0.6517629629629631
001100011001,0.603390746550368,0.6727727602860231,0.2745909466570653,0.6412888888888889
001100011010,0.7492544465554424,0.6466511093100867,0.34373503937810973,0.6126725925925924
001100011011,0.697189429272008,0.647288095249915,0.31268350573684056,0.6111703703703705
001100011100,0.712325940683205,0.7379773997970451,0.44688331950447774,0.7213511111111112
001100011101,0.6648687155443197,0.7257874608348085,0.3888837732272665,0.7059199999999997
001100011110,0.7153731716943598,0.6991985102611169,0.398584112284178,0.6926103703703703
001100011111,0.7045266165873483,0.6982568729741692,0.3908134517315762,0.6850281481481484
001100100000,0.7286920847003436,0.7696938782789207,0.49697883416806304,0.7789451851851854
001100100001,0.7170986544173859,0.7406989767037786,0.4520426567456732,0.7701362962962964
001100100010,0.6495056391757688,0.7351675690605911,0.38466544361785787,0.7307822222222222
001100100011,0.6512433312542026,0.733207953459088,0.38435390955498927,0.7315437037037037
001100100100,0.71072277379653,0.7676921045956694,0.4769502940126026,0.7849333333333334
001100100101,0.705527229705604,0.7435664681825273,0.44526371510089424,0.7793866666666664
001100100110,0.6579854050745853,0.732164766854892,0.38955542459006004,0.7517481481481479
001100100111,0.666460090466052,0.7275885806023931,0.3914159274176756,0.7558785185185188
001100101000,0.6467979883300798,0.739538418913651,0.3829670481754956,0.74032
001100101001,0.6506141013209453,0.7154059170195137,0.36217371984311747,0.7347140740740741
001100101010,0.646737758327289,0.7097034537150739,0.35457384266647507,0.7077185185185186
001100101011,0.6445978041688185,0.7115227871718869,0.3541198967022948,0.7121570370370368
001100101100,0.6566904637431221,0.7493042429061005,0.40589997148977736,0.7435674074074075
001100101101,0.6430877178698989,0.727977636169004,0.3709250808060955,0.7341037037037036
001100101110,0.6305865040472469,0.7188685409969666,0.3484891551464958,0.728977777777778
001100101111,0.6292573699645836,0.7229684042838798,0.35266543980506354,0.7318933333333333
001100110000,0.6878644606746575,0.7591915721613504,0.4474986794343011,0.7589274074074072
001100110001,0.702245700373659,0.7316864667699273,0.4293396397226089,0.7499614814814813
001100110010,0.6638556143910916,0.7153732590159756,0.3758611247920016,0.7190933333333333
001100110011,0.672221286098857,0.7190620683701653,0.3896983369446516,0.7174962962962964
001100110100,0.7286240712260336,0.7482525105261082,0.47232802232789195,0.7891999999999999
001100110101,0.7314517145406753,0.7489868858355295,0.47533694548277583,0.7800800000000001
001100110110,0.7061451352815163,0.7079679713940737,0.4018837099886756,0.7604118518518519
001100110111,0.6938004613447876,0.7110809790837161,0.39761724520987995,0.7574518518518518
001100111000,0.6577616853091536,0.7268496543359056,0.3804800667721537,0.7406903703703702
001100111001,0.6573791544215848,0.7138778684820776,0.36947212194296647,0.7370933333333335
001100111010,0.6381211849862837,0.7048411861680621,0.340798359019544,0.6988711111111111
001100111011,0.6402616272177358,0.695497339819064,0.33372123827147676,0.7005925925925925
001100111100,0.6737727017053882,0.7227672527385615,0.3903544556730311,0.7679377777777777
001100111101,0.6655817870151799,0.7138703048792522,0.3753942424924223,0.7496918518518517
001100111110,0.7282499546343152,0.7014009051141575,0.40935474390668913,0.7354548148148148
001100111111,0.692487683023485,0.6935678641782228,0.3744788439665075,0.7281422222222225
001101000000,0.5969674932216512,0.6376669784447654,0.2295663851234019,0.6231911111111111
001101000001,0.5746843300349458,0.6447919472139821,0.21877616295850755,0.6356474074074074
001101000010,0.5877027956801597,0.6122453576297846,0.18757638949998712,0.5279244444444444
001101000011,0.5767647317122148,0.6391834587270221,0.21291550982677282,0.5870903703703705
001101000100,0.607459094981031,0.6576013726896052,0.26194262915499505,0.6585392592592592
001101000101,0.6205417904978205,0.6493288921755648,0.26318476859219325,0.6669185185185185
001101000110,0.6420060177237792,0.651702439942275,0.28163085195089266,0.6258266666666664
001101000111,0.6296847479565941,0.6620433999288813,0.2843783263784642,0.6459288888888887
001101001000,0.6080402458200546,0.6945173544468566,0.3017750103121279,0.639688888888889
001101001001,0.6000361351837978,0.7043657862223554,0.3023800773559176,0.644568888888889
001101001010,0.7183044064985948,0.6520757909035957,0.33325837034944,0.5887007407407406
001101001011,0.6431872695243764,0.6540047608494836,0.28499533840235297,0.6090488888888888
001101001100,0.6138859873105105,0.6786248392981072,0.2886323172490252,0.6618251851851852
001101001101,0.6140066591964582,0.6829595079798352,0.2954503519353063,0.6672266666666665
001101001110,0.6358241750129071,0.6640697094363631,0.29307874494398345,0.6519644444444442
001101001111,0.6376966238276754,0.6734399850479736,0.30439874509259296,0.6582785185185185
