features,Sen_DD,Sen_std_DD,Sen_CO,Sen_std_CO,Sen_TD,Sen_std_TD,Spe_DD,Spe_std_DD,Spe_CO,Spe_std_CO,Spe_TD,Spe_std_TD,geom_mean,geom_mean_std
"f001010010",0.650600,0.016542,0.440000,0.015362,0.523200,0.026940,0.623600,0.016095,0.490200,0.020927,0.499000,0.017464,0.532683,0.018514
"f001010011",0.684400,0.015641,0.580800,0.028903,0.564800,0.016278,0.635000,0.014731,0.621200,0.015829,0.568400,0.016292,0.607643,0.017421
"f001010100",0.611400,0.019597,0.518600,0.028285,0.567200,0.025222,0.610800,0.021433,0.547000,0.028583,0.544600,0.017687,0.565557,0.023089
"f001010101",0.669200,0.019783,0.606000,0.020785,0.552600,0.019780,0.640200,0.014351,0.628000,0.019287,0.558800,0.015955,0.607662,0.018164
"f001010110",0.664400,0.016871,0.497200,0.018335,0.658600,0.026458,0.684400,0.016752,0.586600,0.022236,0.572400,0.015435,0.606954,0.019001
"f001010111",0.716200,0.017876,0.571400,0.039192,0.663200,0.021302,0.714000,0.022450,0.655400,0.025315,0.601600,0.018693,0.651411,0.023265
"f001011000",0.519600,0.010947,0.474200,0.034064,0.499000,0.020025,0.611800,0.020851,0.445400,0.022379,0.464400,0.017682,0.499648,0.019874
"f001011001",0.622200,0.020424,0.596600,0.020650,0.556800,0.020143,0.629600,0.017316,0.588600,0.012963,0.556000,0.014142,0.590943,0.017317
"f001011010",0.620800,0.012303,0.452600,0.019059,0.543400,0.029367,0.621400,0.018869,0.515400,0.019515,0.493000,0.016643,0.537475,0.018659
"f001011011",0.673200,0.017938,0.610600,0.023783,0.542600,0.024561,0.608600,0.013858,0.627000,0.017578,0.584000,0.018974,0.606362,0.019092
"f001011100",0.611600,0.017013,0.529800,0.017831,0.562600,0.020377,0.629800,0.017943,0.545400,0.020021,0.537000,0.013892,0.568127,0.017710
"f001011101",0.662600,0.018954,0.596200,0.019276,0.556600,0.022857,0.627400,0.016469,0.643800,0.023056,0.547800,0.015270,0.604205,0.019091
"f001011110",0.658800,0.016810,0.506600,0.015825,0.666400,0.031226,0.671200,0.018830,0.599600,0.025609,0.580200,0.016308,0.610812,0.020068
"f001011111",0.711600,0.017130,0.578200,0.029099,0.654200,0.023159,0.698800,0.017046,0.660400,0.026303,0.602200,0.018793,0.649114,0.021445
"f001100000",0.497400,0.013537,0.389600,0.004883,0.606800,0.025569,0.428800,0.014511,0.500400,0.019896,0.576400,0.013529,0.494058,0.013696
"f001100001",0.565600,0.016512,0.492800,0.014148,0.481400,0.016372,0.550000,0.012961,0.511400,0.015749,0.477400,0.009552,0.512014,0.013978
"f001100010",0.520200,0.017831,0.280000,0.031749,0.643200,0.019229,0.446200,0.022529,0.370800,0.026746,0.605400,0.020612,0.459266,0.022655
"f001100011",0.621400,0.016249,0.438600,0.013268,0.591000,0.016523,0.594000,0.014967,0.471000,0.015780,0.580000,0.013266,0.544767,0.014949
"f001100100",0.630000,0.017776,0.512200,0.023773,0.618400,0.029957,0.545600,0.026620,0.603000,0.023516,0.623200,0.020827,0.587009,0.023421
"f001100101",0.727800,0.023003,0.504000,0.028000,0.601000,0.021000,0.569200,0.014400,0.620000,0.021817,0.652200,0.022916,0.608451,0.021449
